methode, problem, status, longueur
complete, burma14, OPTIMAL, 3323.0
complete+, burma14, OPTIMAL, 3323.0
incomplet, burma14, FEASIBLE, 3359.0
complete, ulysses16.tsp, OPTIMAL, 6859.0
complete+, ulysses16.tsp, OPTIMAL, 6859.0
incomplet, ulysses16.tsp, FEASIBLE, 6895.0
complete, gr17, OPTIMAL, 2085.0
complete+, gr17, OPTIMAL, 2085.0
incomplet, gr17, FEASIBLE, 2160.0
complete, gr21, OPTIMAL, 2707.0
complete+, gr21, OPTIMAL, 2707.0
incomplet, gr21, FEASIBLE, 2707.0
complete, ulysses22.tsp, OPTIMAL, 7013.0
complete+, ulysses22.tsp, OPTIMAL, 7013.0
incomplet, ulysses22.tsp, FEASIBLE, 7100.0
complete, gr24, OPTIMAL, 1272.0
complete+, gr24, OPTIMAL, 1272.0
incomplet, gr24, FEASIBLE, 1377.0
complete, fri26, OPTIMAL, 937.0
complete+, fri26, OPTIMAL, 937.0
incomplet, fri26, FEASIBLE, 940.0
complete, bays29, OPTIMAL, 2020.0
complete+, bays29, OPTIMAL, 2020.0
incomplet, bays29, FEASIBLE, 2127.0
complete, bayg29, OPTIMAL, 1610.0
complete+, bayg29, OPTIMAL, 1610.0
incomplet, bayg29, FEASIBLE, 1676.0
complete, swiss42, OPTIMAL, 1273.0
complete+, swiss42, OPTIMAL, 1273.0
incomplet, swiss42, FEASIBLE, 1299.0
complete, dantzig42, OPTIMAL, 699.0
complete+, dantzig42, FEASIBLE, 699.0
incomplet, dantzig42, FEASIBLE, 709.0
complete, hk48, OPTIMAL, 11461.0
complete+, hk48, OPTIMAL, 11461.0
incomplet, hk48, FEASIBLE, 11540.0
complete, gr48, OPTIMAL, 5046.0
complete+, gr48, OPTIMAL, 5046.0
incomplet, gr48, FEASIBLE, 5410.0
complete, att48, FEASIBLE, 10628.0
complete+, att48, FEASIBLE, 10628.0
incomplet, att48, FEASIBLE, 11458.0
complete, eil51, OPTIMAL, 426.0
complete+, eil51, OPTIMAL, 426.0
incomplet, eil51, FEASIBLE, 444.0
complete, berlin52, OPTIMAL, 7542.0
complete+, berlin52, OPTIMAL, 7542.0
incomplet, berlin52, FEASIBLE, 7782.0
complete, brazil58, FEASIBLE, 25395.0
complete+, brazil58, FEASIBLE, 26048.0
incomplet, brazil58, FEASIBLE, 25992.0
complete, st70, FEASIBLE, 684.0
complete+, st70, FEASIBLE, 684.0
incomplet, st70, FEASIBLE, 734.0
complete, pr76, FEASIBLE, 111924.0
complete+, pr76, FEASIBLE, 112723.0
incomplet, pr76, FEASIBLE, 118542.0
complete, eil76, OPTIMAL, 538.0
complete+, eil76, OPTIMAL, 538.0
incomplet, eil76, FEASIBLE, 580.0
incomplet, pr76, FEASIBLE, 202048.0
incomplet, pr76, FEASIBLE, 116648.0
incomplet, pr76, FEASIBLE, 116404.0
complete, pr76, FEASIBLE, 112617.0
complete+, pr76, FEASIBLE, 110204.0
incomplet, pr76, FEASIBLE, 118130.0
